   asset_id asset_name      device           id            name
LDzwedpc8t6     MAROTA  T8 8080882   Uomp4T9hzP    trigger.bias
LDzwedpc8t6     MAROTA  T8 8080882  FiRrh5bfnN1        strategy
LDzwedpc8t6     MAROTA  T8 8080882  HkCezVxAto3          A4.RMS
LDzwedpc8t6     MAROTA  T8 8080882  1MvvWol7jR6          A3.P2P
LDzwedpc8t6     MAROTA  T8 8080882  2o2b7VKMJXg          A1.P2P
LDzwedpc8t6     MAROTA  T8 8080882  8GcIDWsyWGs      ASM100.val
LDzwedpc8t6     MAROTA  T8 8080882  LJvIyhoD8IU         A1.bias
LDzwedpc8t6     MAROTA  T8 8080882  13ZfX8uMbau       Geo1.bias
LDzwedpc8t6     MAROTA  T8 8080882  75sbqnhDHl0         A2.bias
LDzwedpc8t6     MAROTA  T8 8080882  IV2fBGNeMia         A4.bias
46CfUrVW0rt     Marota  T8 8080881  JvXf9xqWWz1    PT100_2.bias
46CfUrVW0rt     Marota  T8 8080881  1g7IObqdOOF           state
46CfUrVW0rt     Marota  T8 8080881  2BnWVTNnGQb        PPS.freq
46CfUrVW0rt     Marota  T8 8080881  3RsNyyIh403        strategy
46CfUrVW0rt     Marota  T8 8080881  6Nu7ngqQpkL       GEO2.bias
46CfUrVW0rt     Marota  T8 8080881  HvdJyZAgW2I    Trigger.bias
46CfUrVW0rt     Marota  T8 8080881  INkuRs5eLzu       GEO1.bias
46CfUrVW0rt     Marota  T8 8080881  J7vMeq9p0x8           speed
46CfUrVW0rt     Marota  T8 8080881  LQqmCpFOLr3       GEO1.Peak
46CfUrVW0rt     Marota  T8 8080881  57k3sguoBfC     PT100_1.val
46CfUrVW0rt     Marota  T8 8080881  7ApHAaObhQO    PT100_1.bias
46CfUrVW0rt     Marota  T8 8080881  A2sLG5neuXY       GEO2.Peak
46CfUrVW0rt     Marota  T8 8080881  BhSL6RIKGki   PPS.freq_span
46CfUrVW0rt     Marota  T8 8080881  LQlWaQ0mlkA        PPS.bias
46CfUrVW0rt     Marota  T8 8080881  5id7EjsUHOd     PT100_2.val
46CfUrVW0rt     Marota  T8 8080881  6fOlcHUgTY7            load
46CfUrVW0rt     Marota  T8 8080881  FhC3Z6hBxKv     Trigger.val
5OGdTTKCfgB     Marota  T8 8081030  AWIYSaAPhKh   SCAIME250.val
5OGdTTKCfgB     Marota  T8 8081030  BANXOBDSCT3  SCAIME500.bias
5OGdTTKCfgB     Marota  T8 8081030  ButdvMqKu7L      Gauge1.RMS
5OGdTTKCfgB     Marota  T8 8081030  GwgIaULNdo4            load
5OGdTTKCfgB     Marota  T8 8081030  Jtzt7zLF59T    trigger.bias
5OGdTTKCfgB     Marota  T8 8081030  LC7SGcW5V17           state
5OGdTTKCfgB     Marota  T8 8081030   h5fepLrYTj     trigger.val
5OGdTTKCfgB     Marota  T8 8081030  56SiIKbdxqX     Gauge1.bias
5OGdTTKCfgB     Marota  T8 8081030  9mYGI5Eq2S7      Gauge1.P2P
5OGdTTKCfgB     Marota  T8 8081030  DOsHlopyVcE        strategy
5OGdTTKCfgB     Marota  T8 8081030  EF7iY1XamSM   SCAIME500.val
5OGdTTKCfgB     Marota  T8 8081030  IDEjKHlFQcv           speed
5OGdTTKCfgB     Marota  T8 8081030  3fJjvvjQXHq  SCAIME250.bias
